Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,122.794475,-7.93795,0.0,bottom
C5,10uF,C_0805_2012Metric,132.507475,-11.87495,180.0,bottom
C6,22pF,C_0805_2012Metric,137.206475,-19.88895,315.0,bottom
C7,22pF,C_0805_2012Metric,136.698475,-14.04695,45.0,bottom
R1,10k,R_0805_2012Metric,115.362475,-25.46395,0.0,bottom
R2,22,R_0805_2012Metric,120.036075,-7.96335,270.0,bottom
R3,22,R_0805_2012Metric,117.902475,-7.96145,270.0,bottom
R4,5.1k,R_0805_2012Metric,111.171475,50.21505,270.0,bottom
R5,5.1k,R_0805_2012Metric,117.648475,50.21505,270.0,bottom
R6,10k,R_0805_2012Metric,148.255475,-10.22395,180.0,bottom
U1,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,123.15825,-16.95495,0.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,114.299875,56.86525,180.0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,134.285475,-16.95495,45.0,bottom
